# Time series of the mean square displacement
# Here the calculation uses a double loop scheme:
# <[r(t)-r(t+tau)]^2>/2*Nd*t
#MSD of atoms name OH2
#Frame          <MSD>
              0              0
              1        0.00346
              2        0.00446
              3         0.0057
              4        0.00637
              5        0.00721
              6        0.00818
              7        0.00883
              8        0.00945
              9         0.0102
             10         0.0111
             11         0.0118
             12         0.0127
             13         0.0133
             14         0.0137
             15         0.0147
             16         0.0155
             17         0.0163
             18         0.0172
             19         0.0176
             20         0.0181
             21         0.0188
             22         0.0195
             23         0.0205
             24         0.0211
             25         0.0214
             26         0.0213
             27         0.0217
             28         0.0223
             29         0.0229
             30         0.0235
             31         0.0242
             32         0.0247
             33          0.025
             34          0.025
             35         0.0254
             36         0.0262
             37         0.0273
             38         0.0276
             39          0.028
             40         0.0285
             41         0.0294
             42         0.0299
             43         0.0296
             44         0.0306
             45         0.0305
             46         0.0314
             47         0.0318
             48         0.0325
             49         0.0332
             50          0.033
             51         0.0335
             52         0.0338
             53          0.034
             54          0.035
             55          0.035
             56         0.0355
             57         0.0366
             58         0.0365
             59         0.0368
             60          0.038
             61         0.0383
             62         0.0382
             63         0.0382
             64         0.0382
             65         0.0398
             66         0.0404
             67          0.041
             68         0.0407
             69         0.0417
             70         0.0416
             71         0.0416
             72          0.042
             73         0.0424
             74         0.0433
             75         0.0435
             76          0.043
             77         0.0443
             78         0.0436
             79         0.0438
             80         0.0441
             81          0.044
             82          0.045
             83          0.044
             84         0.0442
             85         0.0434
             86         0.0441
             87         0.0444
             88         0.0445
             89         0.0445
             90         0.0445
             91         0.0449
             92         0.0451
             93         0.0445
             94         0.0446
             95         0.0445
             96         0.0443
             97         0.0448
             98         0.0444
             99         0.0441
